Received Log:

[9 jul. 2022 11:39:57 a. m.] ASCII:
#---INICIO DATOS---#
Visualiti;UNIX;RG1
ID;UXTIME;mm
M146;1653664664;0.2
M146;1653715859;0.2
M146;1653716208;0.2
M146;1653716256;0.2
M146;1653716272;0.2
M146;1653716288;0.2
M146;1653716305;0.2
M146;1653716326;0.2
M146;1653716355;0.2
M146;1653716433;0.2
M146;1653716777;0.2
M146;1653722003;0.2
M146;1653805350;0.2
M146;1653805397;0.2
M146;1653805495;0.2
M146;1653806132;0.2
M146;1653806223;0.2
M146;1653806279;0.2
M146;1653806343;0.2
M146;1653806396;0.2
M146;1653806585;0.2
M146;1653806688;0.2
M146;1653808370;0.2
M146;1653808480;0.2
M146;1653808533;0.2
M146;1653808580;0.2
M146;1653808653;0.2
M146;1653808711;0.2
M146;1653808791;0.2
M146;1653808913;0.2
M146;1653809393;0.2
M146;1653812187;0.2
M146;1653813471;0.2
M146;1653828498;0.2
M146;1653829517;0.2
M146;1653830049;0.2
M146;1653865737;0.2
M146;1653865749;0.2
M146;1653865756;0.2
M146;1653865763;0.2
M146;1653865769;0.2
M146;1653865776;0.2
M146;1653865782;0.2
M146;1653865787;0.2
M146;1653865795;0.2
M146;1653865807;0.2
M146;1653865820;0.2
M146;1653865832;0.2
M146;1653865848;0.2
M146;1653865858;0.2
M146;1653865867;0.2
M146;1653865876;0.2
M146;1653865883;0.2
M146;1653865888;0.2
M146;1653865894;0.2
M146;1653865901;0.2
M146;1653865911;0.2
M146;1653865937;0.2
M146;1653866104;0.2
M146;1653866286;0.2
M146;1653869851;0.2
M146;1653870006;0.2
M146;1653870446;0.2
M146;1653870498;0.2
M146;1653870548;0.2
M146;1653870609;0.2
M146;1653870668;0.2
M146;1653870717;0.2
M146;1653870737;0.2
M146;1653870747;0.2
M146;1653870756;0.2
M146;1653870763;0.2
M146;1653870769;0.2
M146;1653870775;0.2
M146;1653870782;0.2
M146;1653870789;0.2
M146;1653870795;0.2
M146;1653870802;0.2
M146;1653870809;0.2
M146;1653870816;0.2
M146;1653870822;0.2
M146;1653870828;0.2
M146;1653870833;0.2
M146;1653870839;0.2
M146;1653870845;0.2
M146;1653870852;0.2
M146;1653870857;0.2
M146;1653870862;0.2
M146;1653870868;0.2
M146;1653870874;0.2
M146;1653870879;0.2
M146;1653870883;0.2
M146;1653870887;0.2
M146;1653870892;0.2
M146;1653870896;0.2
M146;1653870901;0.2
M146;1653870905;0.2
M146;1653870909;0.2
M146;1653870913;0.2
M146;1653870917;0.2
M146;1653870922;0.2
M146;1653870927;0.2
M146;1653870931;0.2
M146;1653870935;0.2
M146;1653870940;0.2
M146;1653870944;0.2
M146;1653870949;0.2
M146;1653870954;0.2
M146;1653870958;0.2
M146;1653870963;0.2
M146;1653870967;0.2
M146;1653870972;0.2
M146;1653870976;0.2
M146;1653870980;0.2
M146;1653870985;0.2
M146;1653870990;0.2
M146;1653870995;0.2
M146;1653870999;0.2
M146;1653871003;0.2
M146;1653871007;0.2
M146;1653871011;0.2
M146;1653871015;0.2
M146;1653871020;0.2
M146;1653871024;0.2
M146;1653871029;0.2
M146;1653871034;0.2
M146;1653871038;0.2
M146;1653871042;0.2
M146;1653871046;0.2
M146;1653871051;0.2
M146;1653871055;0.2
M146;1653871060;0.2
M146;1653871066;0.2
M146;1653871070;0.2
M146;1653871074;0.2
M146;1653871080;0.2
M146;1653871086;0.2
M146;1653871092;0.2
M146;1653871098;0.2
M146;1653871104;0.2
M146;1653871109;0.2
M146;1653871115;0.2
M146;1653871120;0.2
M146;1653871125;0.2
M146;1653871130;0.2
M146;1653871135;0.2
M146;1653871139;0.2
M146;1653871145;0.2
M146;1653871149;0.2
M146;1653871154;0.2
M146;1653871158;0.2
M146;1653871163;0.2
M146;1653871168;0.2
M146;1653871172;0.2
M146;1653871177;0.2
M146;1653871182;0.2
M146;1653871187;0.2
M146;1653871192;0.2
M146;1653871197;0.2
M146;1653871203;0.2
M146;1653871208;0.2
M146;1653871213;0.2
M146;1653871220;0.2
M146;1653871226;0.2
M146;1653871231;0.2
M146;1653871237;0.2
