Received Log:

[9 jul. 2022 11:34:09 a. m.] ASCII:
#---INI---#
Visualiti;UNIX;SM1;SM2
ID;UXTIME;m3/m3;m3/m3
C136;1644708333;-1.3;-1.3
C136;1644708341;57.3;-0.7
C136;1644710400;-0.1;-0.6
C136;1644714000;-3.9;-0.7
C136;1644717600;-4.3;-0.1
C136;1644721200;-4.3;0.1
C136;1644724800;-2.5;-1.3
C136;1644728400;-3.3;1.4
C136;1644732000;-4.4;1.4
C136;1644735600;-4.6;0.3
C136;1644739200;-2.7;0.5
C136;1644742800;-4.1;-1.0
C136;1644746400;-4.2;1.6
C136;1644750000;-4.5;-0.2
C136;1644753600;-3.6;-0.3
C136;1644757200;-3.2;0.2
C136;1644760800;-2.6;-0.3
C136;1644764400;-2.7;0.2
C136;1644768000;-4.0;-1.1
C136;1644771600;-3.4;0.6
C136;1644775200;-3.4;-0.9
C136;1644778800;-4.0;-0.1
C136;1644782400;-3.2;-1.0
C136;1644786000;-2.3;-0.2
C136;1644789600;-4.6;-0.1
C136;1644793200;-4.4;-0.0
C136;1644796800;-2.6;-1.5
C136;1644800400;-2.5;-1.1
C136;1644804000;-2.6;-0.7
C136;1644807600;-4.3;-0.6
C136;1644811200;-3.4;-1.5
C136;1644814800;-3.2;-1.2
C136;1644818400;-3.0;-1.9
C136;1644822000;-4.4;1.1
C136;1644825600;-3.7;0.8
C136;1644829200;-4.0;-0.7
C136;1644832800;-3.9;0.3
C136;1644836400;-3.5;1.2
C136;1644840000;-2.5;0.4
C136;1644843600;-4.3;1.3
C136;1644847200;-4.4;1.0
C136;1644850800;-3.4;0.4
C136;1644854400;-2.4;-0.9
C136;1644858000;-2.5;-0.4
C136;1644861600;-2.6;1.1
C136;1644865200;-1.7;0.2
C136;1644868800;-1.0;0.5
C136;1644872400;-1.2;-0.5
C136;1644876000;-1.0;0.8
C136;1644879600;-0.7;0.9
C136;1644883200;0.2;0.8
C136;1644886800;-0.9;-0.2
C136;1644890400;-0.8;0.9
C136;1644894000;-0.0;-0.6
C136;1644897600;0.1;0.4
C136;1644901200;-0.1;-0.0
C136;1644904800;-0.2;-0.2
C136;1644908400;-0.6;0.5
C136;1644912000;0.2;-0.2
C136;1644915600;0.1;1.0
C136;1644919200;-0.6;0.7
C136;1644922800;-0.7;0.6
C136;1644926400;-1.0;0.2
C136;1644930000;-0.3;0.4
C136;1644933600;-0.1;0.4
C136;1644937200;0.1;-0.1
C136;1644940800;-0.9;0.0
C136;1644944400;-0.1;0.0
C136;1644948000;-0.6;-0.9
C136;1644951600;-2.0;-0.6
C136;1644955200;-1.0;-0.6
C136;1644958800;-0.4;-1.2
C136;1644962400;-1.4;-1.3
C136;1644966000;-1.8;-0.0
C136;1644969600;-1.7;-0.9
C136;1644973200;-0.8;-0.2
C136;1644976800;-1.4;-1.1
C136;1644980400;-1.5;-0.3
C136;1644984000;-1.7;0.1
C136;1644987600;-1.4;-0.7
C136;1644991200;-1.6;-0.8
C136;1644994800;-0.9;0.5
C136;1644998400;0.1;-0.3
C136;1645002000;-0.3;0.1
C136;1645005600;-1.2;0.5
C136;1645009200;-0.2;-0.0
C136;1645012800;-1.1;0.2
C136;1645016400;-1.0;-0.1
C136;1645020000;-1.3;0.3
C136;1645023600;-1.0;-1.1
C136;1645027200;-1.5;-1.3
C136;1645030800;-2.0;-0.7
C136;1645034400;-2.0;-1.4
C136;1645038000;-1.9;-1.4
C136;1645041600;-0.8;-1.6
C136;1645045200;-0.2;-0.3
C136;1645048800;-1.2;-0.4
C136;1645052400;-0.2;-0.2
C136;1645056000;3.1;4.5
C136;1645059600;3.8;8.4
C136;1645063200;5.2;9.3
C136;1645066800;5.4;9.4
C136;1645070400;5.3;9.3
C136;1645074000;4.5;8.5
C136;1645077600;5.4;8.7
C136;1645081200;4.6;7.9
C136;1645084800;4.4;7.5
C136;1645088400;5.2;8.0
C136;1645092000;4.7;7.0
C136;1645095600;4.2;6.7
C136;1645099200;5.4;7.1
C136;1645102800;5.1;7.3
C136;1645106400;5.0;6.7
C136;1645110000;3.5;5.4
C136;1645113600;4.4;6.2
C136;1645117200;4.1;5.8
C136;1645120800;3.8;4.9
C136;1645124400;3.2;4.1
C136;1645128000;1.9;3.3
C136;1645131600;2.1;2.8
C136;1645135200;1.6;2.8
C136;1645138800;2.6;3.5
C136;1645142400;1.5;2.6
C136;1645146000;2.1;3.0
C136;1645149600;2.6;3.1
